Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Température:,Pression,Vent :,Humidité relative :,Visibilité :,Point de rosée :,ville
18034,Leibniz - Jean Dollfus,OUI,32.0,8,24,17.0,7.0,OUI,OUI,2022-06-03 06:34:53,"48.896328348515986,2.333390423834684",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
16124,Route de Sèvres - Porte de Bagatelle,OUI,66.0,34,32,16.0,16.0,OUI,OUI,2022-06-03 06:34:53,"48.87525984132485,2.249415814876557",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
5026,Pascal - Claude Bernard,OUI,49.0,20,26,24.0,2.0,OUI,OUI,2022-06-03 06:34:53,"48.839061952159746,2.3499782010912895",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
15012,Cambronne - Mademoiselle,OUI,67.0,4,63,52.0,11.0,OUI,OUI,2022-06-03 06:34:53,"48.843277330035214,2.30230766886348",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
2014,Daunou - Louis le Grand,OUI,17.0,16,1,0.0,1.0,OUI,OUI,2022-06-03 06:34:53,"48.869113,2.332515",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
13047,Boutroux - Porte de Vitry,OUI,49.0,11,37,32.0,5.0,OUI,OUI,2022-06-03 06:34:53,"48.822632,2.377738",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
9034,Godot de Mauroy - Madeleine,OUI,22.0,20,2,0.0,2.0,OUI,OUI,2022-06-03 06:34:52,"48.869789,2.326347",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
11034,Parmentier - Fontaine au Roi,OUI,48.0,12,34,29.0,5.0,OUI,OUI,2022-06-03 06:34:52,"48.86787670551736,2.372705978671471",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
7015,Varenne,OUI,47.0,46,1,1.0,0.0,OUI,OUI,2022-06-03 06:34:52,"48.8572026618033,2.315277121961117",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
2008,Mairie du 2ème,OUI,28.0,23,4,1.0,3.0,OUI,OUI,2022-06-03 06:34:52,"48.8672190355135,2.3404625437747044",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
15059,Parc André Citroën,OUI,65.0,3,60,57.0,3.0,OUI,OUI,2022-06-03 06:34:52,"48.840639944296655,2.2780618071556096",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
20132,Réunion - Avron,OUI,26.0,13,13,3.0,10.0,OUI,OUI,2022-06-03 06:34:51,"48.852566752033766,2.403928068708116",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
14132,Bézout - Général Leclerc,OUI,30.0,10,19,15.0,4.0,OUI,OUI,2022-06-03 06:34:51,"48.82884804502439,2.3285973072052",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
10029,Dunkerque - Rocroy,OUI,24.0,11,11,8.0,3.0,OUI,OUI,2022-06-03 06:34:51,"48.880726,2.351464",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
15123,Commerce - Letellier,OUI,44.0,4,38,36.0,2.0,OUI,OUI,2022-06-03 06:34:51,"48.84797660373612,2.2966245196598805",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
10033,Gare du Nord - Saint-Vincent de Paul,OUI,24.0,24,0,0.0,0.0,NON,NON,2022-06-03 06:34:50,"48.880955741648,2.3524305148385",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
15132,Bargue -  Dutot,OUI,21.0,1,19,13.0,6.0,OUI,OUI,2022-06-03 06:34:50,"48.837884,2.308876",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
16039,Exelmans - Versailles,OUI,49.0,34,13,11.0,2.0,OUI,OUI,2022-06-03 06:34:50,"48.84097491091973,2.264390252530575",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
11030,Oberkampf - République,OUI,24.0,16,8,7.0,1.0,OUI,OUI,2022-06-03 06:34:50,"48.865316087070475,2.3761147849099955",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
20106,Mairie du 20ème,OUI,27.0,5,22,9.0,13.0,OUI,OUI,2022-06-03 06:34:50,"48.865302324275,2.3990669846535",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
20002,Square de la rue Pixérécourt,OUI,15.0,0,15,0.0,15.0,OUI,OUI,2022-06-03 06:34:50,"48.8736824,2.3960278",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
17031,Place de la Porte de Champerret,OUI,28.0,27,1,0.0,1.0,OUI,OUI,2022-06-03 06:34:50,"48.88561741628322,2.290781411279206",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
17037,Bayen - Pereire,OUI,22.0,14,8,7.0,1.0,OUI,OUI,2022-06-03 06:34:49,"48.881804409079656,2.2921088710427284",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
20036,Ménilmontant - Pelleport,OUI,19.0,2,17,0.0,17.0,OUI,OUI,2022-06-03 06:34:49,"48.87068263384462,2.398959602331646",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
20116,Haies - Réunion,OUI,22.0,7,15,10.0,5.0,OUI,OUI,2022-06-03 06:34:49,"48.85386896766491,2.402426162238911",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
6029,Vaugirard - Monsieur le Prince,OUI,26.0,23,2,0.0,2.0,OUI,OUI,2022-06-03 06:34:49,"48.848951441614176,2.3411329463124275",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
10031,Louis Blanc - Aqueduc,OUI,37.0,6,31,18.0,13.0,OUI,OUI,2022-06-03 06:34:49,"48.88203018259946,2.3635615780949593",Paris,15°C / ciel couvert,1015hpa,NE à 7 km/h,68%,10 km,9°C,Paris
